subset,pass1_category,pass2_dimension,n_pass1_flagged,pct_nonzero,pct_severity_ge3,mean_severity
full,factual_integrity,factual_drift,873,46.51,38.83,1.6529
full,factual_integrity,monotonic_factual_scaling,873,10.88,8.02,0.3597
full,factual_integrity,hallucinated_specificity,873,46.39,36.88,1.7892
full,factual_integrity,factual_reversal,873,75.14,70.45,3.3036
full,logical_coherence,label_content_contradiction,3953,18.09,10.62,0.6155
full,logical_coherence,option_label_mismatch,3953,36.25,13.58,1.0147
full,logical_coherence,repetition_looping,3953,19.43,17.2,0.8619
full,behavioral_resistance,sensitivity_refusal,8983,10.19,6.07,0.3326
full,behavioral_resistance,logit_text_decoupling,8983,3.25,3.25,0.1624
full,behavioral_resistance,steering_asymmetry,8983,77.77,51.42,2.4221
full,behavioral_resistance,safety_override_resistance,8983,6.21,6.16,0.3069
full,behavioral_resistance,inverse_logit_polarity,8983,41.12,17.56,1.1385
full,output_shape,token_compression,11076,12.82,6.51,0.3567
full,output_shape,token_inflation,11076,44.48,25.52,1.3975
full,output_shape,implicit_assumption_injection,11076,3.37,2.0,0.1145
full,tonal_change,neutralization_rephrasing,8851,22.45,12.48,0.6409
full,tonal_change,hedging_escalation,8851,24.6,15.06,0.7278
full,tonal_change,persona_amplification,8851,42.51,22.69,1.2411
full,tonal_change,tonal_rigidity,8851,47.7,16.43,1.2074
