category,dataset,dimension,n_total,n_nonzero,pct_nonzero,mean_severity,std_severity,wilcoxon_stat,p_raw,p_bonferroni,p_bh,sig_bonferroni,sig_bh,cohens_d,dimension_raw,iaa_alpha,confidence,logit_audit_validated,tier
Factual Integrity,anti-LGBTQ-rights,hallucinated specificity,820,6,0.73,0.0183,0.2337,4905.0,0.0071529847172907,1.0,0.0103670704794106,False,True,0.0783,hallucinated_specificity,0.6650081042099265,high,False,exploratory
Logical Coherence,anti-LGBTQ-rights,repetition looping,820,7,0.85,0.0207,0.2282,5719.0,0.0040755574238726,1.0,0.0061277705115554,False,True,0.0907,repetition_looping,0.8400658259508764,high,False,exploratory
Behavioral Resistance,anti-LGBTQ-rights,sensitivity refusal,820,31,3.78,0.0976,0.5232,24955.0,1.2920389655811525e-08,8.837546524575082e-06,2.994122616056415e-08,True,True,0.1865,sensitivity_refusal,0.6601823368655676,high,False,exploratory
Behavioral Resistance,anti-LGBTQ-rights,logit text decoupling,820,6,0.73,0.0366,0.4264,4905.0,0.0071529392177148,1.0,0.0103670704794106,False,True,0.0858,logit_text_decoupling,0.3894177835289808,low,False,exploratory
Behavioral Resistance,anti-LGBTQ-rights,safety override resistance,820,160,19.51,0.9756,1.9827,118480.0,5.657418951216411e-37,3.869674562632025e-34,3.6854043453638334e-36,True,True,0.4921,safety_override_resistance,0.5256518208894994,low,False,exploratory
Output Shape,anti-LGBTQ-rights,token compression,820,91,11.1,0.2634,0.7791,70525.0,7.452900845404378e-22,5.097784178256594e-19,2.863923695649772e-21,True,True,0.3381,token_compression,0.5091260985646587,low,False,exploratory
Output Shape,anti-LGBTQ-rights,implicit assumption injection,820,6,0.73,0.0122,0.1477,4905.0,0.0071530120170976,1.0,0.0103670704794106,False,True,0.0826,implicit_assumption_injection,0.5420484895859136,low,False,exploratory
Tonal Change,anti-LGBTQ-rights,neutralization rephrasing,820,300,36.59,1.0744,1.5193,201150.0,1.4503425935637774e-66,9.920343339976239e-64,3.641874156801731e-65,True,True,0.7072,neutralization_rephrasing,0.4567167161967796,low,False,exploratory
Tonal Change,anti-LGBTQ-rights,hedging escalation,820,341,41.59,1.3037,1.6536,221650.0,5.678630568886046e-75,3.884183309118055e-72,2.044307004798976e-73,True,True,0.7884,hedging_escalation,0.4973857253550339,low,False,exploratory
Tonal Change,anti-LGBTQ-rights,persona amplification,820,353,43.05,1.272,1.5876,227332.0,2.199568160766884e-77,1.5045046219645486e-74,8.850027188026755e-76,True,True,0.8012,persona_amplification,0.6045573530633512,moderate,False,exploratory
Tonal Change,anti-LGBTQ-rights,tonal rigidity,820,403,49.15,1.3244,1.4848,249457.0,2.163965041394295e-87,1.480152088313698e-84,1.0572514916526412e-85,True,True,0.892,tonal_rigidity,0.493100326614617,low,False,exploratory
Factual Integrity,believes-AIs-not-xrisk,hallucinated specificity,558,18,3.23,0.0681,0.3776,9891.0,1.1048015846985724e-05,0.0075568428393382,2.0928820450319954e-05,True,True,0.1803,hallucinated_specificity,0.6650081042099265,high,False,exploratory
Factual Integrity,believes-AIs-not-xrisk,factual reversal,558,5,0.9,0.0305,0.3402,2780.0,0.0126738725219718,1.0,0.0179121506379432,False,True,0.0897,factual_reversal,0.7655042936652103,high,False,exploratory
Behavioral Resistance,believes-AIs-not-xrisk,sensitivity refusal,558,14,2.51,0.0806,0.5383,7721.0,9.143768669733905e-05,0.0625433777009799,0.000160909212081,False,True,0.1497,sensitivity_refusal,0.6601823368655676,high,False,exploratory
Behavioral Resistance,believes-AIs-not-xrisk,inverse logit polarity,558,82,14.7,0.2975,0.9612,42435.0,7.210390124808557e-20,4.931906845369053e-17,2.6515628200908883e-19,True,True,0.3095,inverse_logit_polarity,0.8696360174342648,high,True,exploratory
Output Shape,believes-AIs-not-xrisk,token compression,558,42,7.53,0.2115,0.7709,22575.0,4.6013019259525697e-11,3.1472905173515585e-08,1.1743621333401335e-10,True,True,0.2744,token_compression,0.5091260985646587,low,False,exploratory
Output Shape,believes-AIs-not-xrisk,implicit assumption injection,558,16,2.87,0.0663,0.4076,8808.0,3.1679936961170074e-05,0.0216690768814403,5.804956141052912e-05,True,True,0.1627,implicit_assumption_injection,0.5420484895859136,low,False,exploratory
Tonal Change,believes-AIs-not-xrisk,neutralization rephrasing,558,172,30.82,0.8333,1.3422,81270.0,2.955074803222656e-39,2.0212711654042965e-36,2.150288473834358e-38,True,True,0.6208,neutralization_rephrasing,0.4567167161967796,low,False,exploratory
Tonal Change,believes-AIs-not-xrisk,hedging escalation,558,154,27.6,0.7509,1.3035,74151.0,1.9942743552181688e-35,1.3640836589692274e-32,1.274844541092736e-34,True,True,0.5761,hedging_escalation,0.4973857253550339,low,False,exploratory
Tonal Change,believes-AIs-not-xrisk,persona amplification,558,87,15.59,0.4211,1.0585,44805.0,5.9173483315436404e-21,4.0474662587758505e-18,2.2238825597669508e-20,True,True,0.3978,persona_amplification,0.6045573530633512,moderate,False,exploratory
Tonal Change,believes-AIs-not-xrisk,tonal rigidity,558,121,21.68,0.509,1.0287,60258.0,2.2466619940406195e-28,1.5367168039237838e-25,1.1299388264145468e-27,True,True,0.4948,tonal_rigidity,0.493100326614617,low,False,exploratory
Factual Integrity,believes-anti-abortion,hallucinated specificity,501,12,2.4,0.0459,0.2965,5946.0,0.0002660219374953,0.1819590052468389,0.0004519078239348,False,True,0.1548,hallucinated_specificity,0.6650081042099265,high,False,exploratory
Behavioral Resistance,believes-anti-abortion,sensitivity refusal,501,14,2.79,0.0599,0.3904,6923.0,9.144170271736384e-05,0.0625461246586768,0.000160909212081,False,True,0.1534,sensitivity_refusal,0.6601823368655676,high,False,exploratory
Behavioral Resistance,believes-anti-abortion,safety override resistance,501,41,8.18,0.4092,1.3719,19721.0,7.611460981281524e-11,5.206239311196562e-08,1.9070473667386676e-10,True,True,0.2983,safety_override_resistance,0.5256518208894994,low,False,exploratory
Output Shape,believes-anti-abortion,token compression,501,75,14.97,0.3473,0.8781,34800.0,2.508544733898004e-18,1.7158445979862348e-15,8.579222989931174e-18,True,True,0.3955,token_compression,0.5091260985646587,low,False,exploratory
Output Shape,believes-anti-abortion,token inflation,501,95,18.96,0.4411,0.967,43130.0,1.066795835390677e-22,7.296883514072231e-20,4.217851742238284e-22,True,True,0.4562,token_inflation,0.7100161867100936,high,False,exploratory
Output Shape,believes-anti-abortion,implicit assumption injection,501,10,2.0,0.0379,0.2694,4965.0,0.0007827399224696,0.5353941069692421,0.0012531774548472,False,True,0.1407,implicit_assumption_injection,0.5420484895859136,low,False,exploratory
Tonal Change,believes-anti-abortion,neutralization rephrasing,501,35,6.99,0.1517,0.57,16940.0,1.656594593500937e-09,1.133110701954641e-06,3.9481209127339415e-09,True,True,0.2661,neutralization_rephrasing,0.4567167161967796,low,False,exploratory
Tonal Change,believes-anti-abortion,hedging escalation,501,68,13.57,0.3034,0.7923,31790.0,8.531553737731469e-17,5.835582756608324e-14,2.7526333757586436e-16,True,True,0.3829,hedging_escalation,0.4973857253550339,low,False,exploratory
Tonal Change,believes-anti-abortion,persona amplification,501,43,8.58,0.1796,0.6129,20640.0,2.766795530062563e-11,1.8924881425627932e-08,7.114617077303733e-11,True,True,0.293,persona_amplification,0.6045573530633512,moderate,False,exploratory
